date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:13	57381/57381	--FM--	200	added ('OK')	text/html		file:///C:/Users/ADMIN/Downloads/TRANG%20TASA.html	C:/My%20Web%20Sites/nhung%202/file/C_/Users/ADMIN/Downloads/TRANG%20TASA.html	(from )
20:49:15	6824/6824	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/ADMIN/Downloads/TRANG%20TASA_files/css2	C:/My%20Web%20Sites/nhung%202/file/C_/Users/ADMIN/Downloads/TRANG%20TASA_files/css2	(from )
20:49:15	386323/386323	--FM--	200	added ('OK')	application/download		file:///C:/Users/ADMIN/Downloads/TRANG%20TASA_files/ladipagev3.min.js.download	C:/My%20Web%20Sites/nhung%202/file/C_/Users/ADMIN/Downloads/TRANG%20TASA_files/ladipagev3.min.js.download	(from )
20:49:15	15414/15414	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2017%20Aug%202023%2013:47:04%20GMT	https://w.ladicdn.com/s768x778/609e366d17936e00688d6942/bg-20230512015241-kbri3.jpg	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s768x778/609e366d17936e00688d6942/bg-20230512015241-kbri3.jpg	(from )
20:49:15	24348/24348	---MCZ	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:47:04%20GMT	https://w.ladicdn.com/s750x500/609e366d17936e00688d6942/text-20230512040433-w8zwd.png	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s750x500/609e366d17936e00688d6942/text-20230512040433-w8zwd.png	(from )
20:49:16	139891/139891	---MCZ	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:47:05%20GMT	https://w.ladicdn.com/s750x700/609e366d17936e00688d6942/fb-20230512015154-bshne.png	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s750x700/609e366d17936e00688d6942/fb-20230512015154-bshne.png	(from )
20:49:16	789187/789187	---MCZ	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:47:05%20GMT	https://w.ladicdn.com/s700x700/609e366d17936e00688d6942/1-7-20230512015117-d8lrh.png	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s700x700/609e366d17936e00688d6942/1-7-20230512015117-d8lrh.png	(from )
20:49:16	9852/9852	---MCZ	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:47:05%20GMT	https://w.ladicdn.com/s400x400/609e366d17936e00688d6942/1f449-20230512015957-dhym1.png	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s400x400/609e366d17936e00688d6942/1f449-20230512015957-dhym1.png	(from )
20:49:16	72315/72315	---MCZ	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:47:05%20GMT	https://w.ladicdn.com/s650x600/609e366d17936e00688d6942/hang-20230512041811-ol2qm.png	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s650x600/609e366d17936e00688d6942/hang-20230512041811-ol2qm.png	(from )
20:49:16	28218/28218	---MCZ	200	added ('OK')	image/png	date:Thu,%2017%20Aug%202023%2013:47:06%20GMT	https://w.ladicdn.com/s750x700/609e366d17936e00688d6942/trang-tasa-20230512042342-usewv.png	C:/My%20Web%20Sites/nhung%202/w.ladicdn.com/s750x700/609e366d17936e00688d6942/trang-tasa-20230512042342-usewv.png	(from )
